Province,Tranche,Population
Bruxelles,adult,355167
Bruxelles,centanarian,10091
Bruxelles,old,98815
Bruxelles,senior,231435
Bruxelles,young,461836
Province de Flandre occidentale,adult,271882
Province de Flandre occidentale,centanarian,15084
Province de Flandre occidentale,old,183087
Province de Flandre occidentale,senior,313854
Province de Flandre occidentale,young,356993
Province de Flandre orientale,adult,377912
Province de Flandre orientale,centanarian,15211
Province de Flandre orientale,old,195194
Province de Flandre orientale,senior,373853
Province de Flandre orientale,young,486824
Province de Liège,adult,270657
Province de Liège,centanarian,10071
Province de Liège,old,130660
Province de Liège,senior,271873
Province de Liège,young,371051
Province de Namur,adult,121274
Province de Namur,centanarian,4461
Province de Namur,old,57353
Province de Namur,senior,123049
Province de Namur,young,164906
Province du Brabant flamand,adult,280493
Province du Brabant flamand,centanarian,11741
Province du Brabant flamand,old,143019
Province du Brabant flamand,senior,284083
Province du Brabant flamand,young,378718
Province du Brabant wallon,adult,97578
Province du Brabant wallon,centanarian,3969
Province du Brabant wallon,old,49320
Province du Brabant wallon,senior,99715
Province du Brabant wallon,young,135139
Province du Hainaut,adult,331004
Province du Hainaut,centanarian,12959
Province du Hainaut,old,156094
Province du Hainaut,senior,330352
Province du Hainaut,young,449091
Province du Limbourg,adult,212095
Province du Limbourg,centanarian,7419
Province du Limbourg,old,113753
Province du Limbourg,senior,236483
Province du Limbourg,young,263754
Province du Luxembourg,adult,71317
Province du Luxembourg,centanarian,2498
Province du Luxembourg,old,30481
Province du Luxembourg,senior,67830
Province du Luxembourg,young,100290
Province d’Anvers,adult,457614
Province d’Anvers,centanarian,18029
Province d’Anvers,old,232726
Province d’Anvers,senior,458356
Province d’Anvers,young,609521
